Rank,Country,Total,"Recordedconsumption","Unrecordedconsumption","Beer(%)","Wine(%)","Spirits(%)","Other(%)","2015projection"
148,Togo,2.3,1.3,1,48.9,26.9,2.4,21.8,1.9
149,Nepal,2.2,0.2,2,47.7,0.9,51.4,0,2.1
150,Bahrain,2.1,2,0.1,36.6,6.3,57,0.1,2.4
151,Benin,2.1,1.1,1,54.6,21.7,7.2,16.5,2.2
152,Singapore,2,1.5,0.5,70.1,13.5,14.7,1.7,2.9
153,Turkey,2,1.4,0.6,63.6,8.6,27.9,0,2.4
154,Madagascar,1.8,0.8,1,56,9.5,34.5,0,1.9
155,Solomon Islands,1.7,1.2,0.5,81.1,2.1,16.7,0,1.6
156,Tonga,1.6,1.1,0.5,57.9,7.6,34.3,0.1,2.1
157,Tunisia,1.5,1.3,0.2,68.6,27.7,3.7,0,1.2
158,Tuvalu,1.5,1,0.5,10,15.5,74.5,0,1.3
159,Qatar,1.5,0.9,0.6,1.2,13.9,84.6,0.3,1.3
160,Vanuatu,1.4,0.9,0.5,40.5,22.8,36.7,0,1.2
161,Djibouti,1.3,1.1,0.2,23.2,5.3,71.5,0,0.9
162,Malaysia,1.3,0.3,1,76.2,2,21.8,0.1,1.7
163,Syria,1.2,1,0.3,8.5,27.9,63.5,0,1.4
164,Maldives,1.2,0.7,0.5,29.1,29.4,41.2,0,1
165,Mali,1.1,0.6,0.5,13.3,1.5,2.1,83.1,1
166,Eritrea,1.1,0.5,0.6,63.6,0,0.1,36.3,1.4
167,Algeria,1,0.7,0.3,62.6,35.5,0,2,0.6
168,Iran,1,0,1,24.8,52.1,1,1,
169,Oman,0.9,0.7,0.2,54.6,3.3,42.2,0,0.9
170,Brunei,0.9,0.6,0.3,89.8,2.3,7.2,0.7,0.8
171,Morocco,0.9,0.5,0.5,43.5,36.5,19.9,0,0.7
172,Jordan,0.7,0.5,0.2,22.4,2.1,75.4,0.1,0.7
173,Bhutan,0.7,0.4,0.3,100,0,0,0,1.1
174,Guinea,0.7,0.2,0.5,78.9,16.3,3.7,1.1,0.7
175,Myanmar,0.7,0.1,0.6,82.6,5.7,11.8,0,0.7
176,Afghanistan,0.7,0,0.7,18.9,38.3,1,1.2,
177,Senegal,0.6,0.3,0.3,55.1,41.3,3.6,0,0.5
178,Indonesia,0.6,0.1,0.5,84.5,0.1,15.3,0,0.6
179,Timor-Leste,0.6,0.1,0.5,9.3,75.9,14.8,0,1.2
180,Iraq,0.5,0.2,0.3,76.1,1,22.9,0,0.5
181,Somalia,0.5,0,0.5,9.2,19.2,0.5,0.5,
182,Egypt,0.4,0.2,0.2,53.8,5.4,40.3,0.5,0.3
183,Niger,0.3,0.1,0.2,46,13.2,40.7,0,0.3
184,Yemen,0.3,0.1,0.2,100,0,0,0,0.2
185,Comoros,0.2,0.1,0.1,23.3,22.2,54.6,0,0.2
186,Saudi Arabia,0.2,0.1,0.1,0,1.9,97.9,0.2,0.2
187,Bangladesh,0.2,0,0.2,9,17.6,0.2,0.2,
188,Kuwait,0.1,0,0.1,58.1,10.8,30.7,0.4,0.1
189,Libya,0.1,0,0.1,2.5,5,0,0,
190,Mauritania,0.1,0,0.1,,,,,0.1
191,Pakistan,0.1,0,0,1.2,3,0.1,0.1,
